number,title,body,,created_at,closed_at,state,,Short description,Description,Work notes,Resolution notes,closed_at,state,title
11,MySQL K8s Pod Created,"MySQL K8s Pod CreatedCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/18/23 20:47,5/21/23 4:24,closed,,MySQL K8s Pod Created,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/21/23 4:24,closed,
12,MySQL memory peak usage anomaly,"MySQL memory peak usage anomalyCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/19/23 20:47,5/22/23 4:24,closed,,MySQL memory peak usage anomaly,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/22/23 4:24,closed,
13,MySQL memory peak usage anomaly,"MySQL memory peak usage anomalyCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/19/23 20:47,5/22/23 4:24,closed,,MySQL memory peak usage anomaly,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/22/23 4:24,closed,
14,Robotshop Homepage - Functional verification failed,"Robotshop Homepage - Functional verification failedCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/20/23 20:47,5/23/23 4:24,closed,,Robotshop Homepage - Functional verification failed,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/23/23 4:24,closed,
15,Ratings Service outage after K8s Node Failure,"Ratings Service outage after K8s Node FailureCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/21/23 20:47,5/24/23 4:24,closed,,Ratings Service outage after K8s Node Failure,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/24/23 4:24,closed,
16,MySQL - available replicas is less than desired replicas - Check conditions and error events,"MySQL - available replicas is less than desired replicas - Check conditions and error eventsCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL Deployment Limits too low
      - MySQL Pod is restarting/killed with OoutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting mysql deployment resource limits and restarting ratings pods.
__ Runbook:
      Increase resource limits for mysql Deployment - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/24/23 20:47,5/27/23 4:24,closed,,MySQL - available replicas is less than desired replicas - Check conditions and error events,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL Deployment Limits too low
      - MySQL Pod is restarting/killed with OoutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting mysql deployment resource limits and restarting ratings pods.
__ Runbook:
      Increase resource limits for mysql Deployment - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/27/23 4:24,closed,
17,Robotshop Homepage call rate is too high- Robotshop call rate stays at a high level for an extended period of time,"Robotshop Homepage call rate is too high- Robotshop call rate stays at a high level for an extended period of timeCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL Deployment Limits too low
      - MySQL Pod is restarting/killed with OoutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting mysql deployment resource limits and restarting ratings pods.
__ Runbook:
      Increase resource limits for mysql Deployment - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/25/23 20:47,5/28/23 4:24,closed,,Robotshop Homepage call rate is too high- Robotshop call rate stays at a high level for an extended period of time,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL Deployment Limits too low
      - MySQL Pod is restarting/killed with OoutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting mysql deployment resource limits and restarting ratings pods.
__ Runbook:
      Increase resource limits for mysql Deployment - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/28/23 4:24,closed,
18,<*> stdout F <*> - - [<*>/May/<*>:<*>:<*>:<*> <*>] <*>,"<*> stdout F <*> - - [<*>/May/<*>:<*>:<*>:<*> <*>] <*>Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL Deployment Limits too low
      - MySQL Pod is restarting/killed with OoutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting mysql deployment resource limits and restarting ratings pods.
__ Runbook:
      Increase resource limits for mysql Deployment - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/28/23 20:47,5/31/23 4:24,closed,,<*> stdout F <*> - - [<*>/May/<*>:<*>:<*>:<*> <*>] <*>,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL Deployment Limits too low
      - MySQL Pod is restarting/killed with OoutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting mysql deployment resource limits and restarting ratings pods.
__ Runbook:
      Increase resource limits for mysql Deployment - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/31/23 4:24,closed,
19,vSphere Switch Outage: dcwest1-switch023,"vSphere Switch Outage: dcwest1-switch023vSphere Switch Outage: dcwest1-switch023__ Cause: Switch DCWest1-Switch023 had an short outage.
_ vSphere Switch dcwest1-switch023 - Port1 unavailable
__ Resolved by rebooting the port._ Cause: Switch DCWest1-Switch023 had an short outage.
- _ vSphere Switch dcwest1-switch023 - Port1 unavailable
- Port1 for MySQL Database unavailable.
- Ratings Pod is unable to restart reliably after MySQL outage. 
- MySQL Pod is in CrashLoopBackoff state and has to be restarted. 
- Ratings Service is unable to pick up the restart and has to be restarted as well. 

_ Resolved by rebooting the port.

__ Runbook:
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep mysql|awk '{print$1}'
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/23/23 20:47,5/26/23 4:24,closed,,vSphere Switch Outage: dcwest1-switch023,vSphere Switch Outage: dcwest1-switch023,"__ Cause: Switch DCWest1-Switch023 had an short outage.
_ vSphere Switch dcwest1-switch023 - Port1 unavailable
__ Resolved by rebooting the port.","_ Cause: Switch DCWest1-Switch023 had an short outage.
- _ vSphere Switch dcwest1-switch023 - Port1 unavailable
- Port1 for MySQL Database unavailable.
- Ratings Pod is unable to restart reliably after MySQL outage. 
- MySQL Pod is in CrashLoopBackoff state and has to be restarted. 
- Ratings Service is unable to pick up the restart and has to be restarted as well. 

_ Resolved by rebooting the port.

__ Runbook:
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep mysql|awk '{print$1}'
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/26/23 4:24,closed,
20,Server failure after Fan outage,"Server failure after Fan outageBlade DCWest1-Rack045-DELL3762 is overheating and shutting down.__  Cause: Rack Fan had an outage.
- Blade is overheating and shutting down.
- vSphere Host becomes unavailable.
- K8s node becomes unavailable.
- Ratings Pod is unable to restart reliably after K8s Node outage.
- MySQL Pod is in CrashLoopBackoff state and has to be restarted.
- Ratings Service is unable to pick up the restart and has to be restarted as well._ Cause: Rack Fan had an outage.
- Blade is overheating and shutting down.
- vSphere Host becomes unavailable.
- K8s node becomes unavailable.
- Ratings Pod is unable to restart reliably after K8s Node outage. 
- MySQL Pod is in CrashLoopBackoff state and has to be restarted. 
- Ratings Service is unable to pick up the restart and has to be restarted as well. 

_ Resolved by replacing the rack fan.

__ Runbook:
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep mysql|awk '{print$1}'
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/22/23 20:47,5/25/23 4:24,closed,,Server failure after Fan outage,Blade DCWest1-Rack045-DELL3762 is overheating and shutting down.,"__  Cause: Rack Fan had an outage.
- Blade is overheating and shutting down.
- vSphere Host becomes unavailable.
- K8s node becomes unavailable.
- Ratings Pod is unable to restart reliably after K8s Node outage.
- MySQL Pod is in CrashLoopBackoff state and has to be restarted.
- Ratings Service is unable to pick up the restart and has to be restarted as well.","_ Cause: Rack Fan had an outage.
- Blade is overheating and shutting down.
- vSphere Host becomes unavailable.
- K8s node becomes unavailable.
- Ratings Pod is unable to restart reliably after K8s Node outage. 
- MySQL Pod is in CrashLoopBackoff state and has to be restarted. 
- Ratings Service is unable to pick up the restart and has to be restarted as well. 

_ Resolved by replacing the rack fan.

__ Runbook:
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep mysql|awk '{print$1}'
oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/25/23 4:24,closed,
